DATE,PAYEMS_CHG_20220107,PAYEMS_CHG_20210205,PAYEMS_CHG_20210305,PAYEMS_CHG_20210402,PAYEMS_CHG_20210507,PAYEMS_CHG_20210604,PAYEMS_CHG_20210702,PAYEMS_CHG_20210806,PAYEMS_CHG_20210903,PAYEMS_CHG_20211008,PAYEMS_CHG_20211105,PAYEMS_CHG_20211203
1966-05-01,275,275,275,275,275,275,275,275,275,275,275,275
1966-06-01,399,399,399,399,399,399,399,399,399,399,399,399
1966-07-01,190,190,190,190,190,190,190,190,190,190,190,190
1966-08-01,206,206,206,206,206,206,206,206,206,206,206,206
1966-09-01,136,136,136,136,136,136,136,136,136,136,136,136
1966-10-01,211,211,211,211,211,211,211,211,211,211,211,211
1966-11-01,165,165,165,165,165,165,165,165,165,165,165,165
1966-12-01,180,180,180,180,180,180,180,180,180,180,180,180
1967-01-01,208,208,208,208,208,208,208,208,208,208,208,208
1967-02-01,22,22,22,22,22,22,22,22,22,22,22,22
1967-03-01,101,101,101,101,101,101,101,101,101,101,101,101
1967-04-01,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64
1967-05-01,154,154,154,154,154,154,154,154,154,154,154,154
1967-06-01,130,130,130,130,130,130,130,130,130,130,130,130
1967-07-01,138,138,138,138,138,138,138,138,138,138,138,138
1967-08-01,255,255,255,255,255,255,255,255,255,255,255,255
1967-09-01,21,21,21,21,21,21,21,21,21,21,21,21
1967-10-01,61,61,61,61,61,61,61,61,61,61,61,61
1967-11-01,478,478,478,478,478,478,478,478,478,478,478,478
1967-12-01,197,197,197,197,197,197,197,197,197,197,197,197
1968-01-01,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96
1968-02-01,411,411,411,411,411,411,411,411,411,411,411,411
1968-03-01,80,80,80,80,80,80,80,80,80,80,80,80
1968-04-01,261,261,261,261,261,261,261,261,261,261,261,261
1968-05-01,96,96,96,96,96,96,96,96,96,96,96,96
1968-06-01,253,253,253,253,253,253,253,253,253,253,253,253
1968-07-01,221,221,221,221,221,221,221,221,221,221,221,221
1968-08-01,204,204,204,204,204,204,204,204,204,204,204,204
1968-09-01,154,154,154,154,154,154,154,154,154,154,154,154
1968-10-01,237,237,237,237,237,237,237,237,237,237,237,237
1968-11-01,263,263,263,263,263,263,263,263,263,263,263,263
1968-12-01,264,264,264,264,264,264,264,264,264,264,264,264
1969-01-01,191,191,191,191,191,191,191,191,191,191,191,191
1969-02-01,260,260,260,260,260,260,260,260,260,260,260,260
1969-03-01,206,206,206,206,206,206,206,206,206,206,206,206
1969-04-01,167,167,167,167,167,167,167,167,167,167,167,167
1969-05-01,256,256,256,256,256,256,256,256,256,256,256,256
1969-06-01,308,308,308,308,308,308,308,308,308,308,308,308
1969-07-01,93,93,93,93,93,93,93,93,93,93,93,93
1969-08-01,279,279,279,279,279,279,279,279,279,279,279,279
1969-09-01,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94,-94
1969-10-01,207,207,207,207,207,207,207,207,207,207,207,207
1969-11-01,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1969-12-01,155,155,155,155,155,155,155,155,155,155,155,155
1970-01-01,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65
1970-02-01,129,129,129,129,129,129,129,129,129,129,129,129
1970-03-01,146,146,146,146,146,146,146,146,146,146,146,146
1970-04-01,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103
1970-05-01,-224,-224,-224,-224,-224,-224,-224,-224,-224,-224,-224,-224
1970-06-01,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
1970-07-01,24,24,24,24,24,24,24,24,24,24,24,24
1970-08-01,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116
1970-09-01,7,7,7,7,7,7,7,7,7,7,7,7
1970-10-01,-423,-423,-423,-423,-423,-423,-423,-423,-423,-423,-423,-423
1970-11-01,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112
1970-12-01,383,383,383,383,383,383,383,383,383,383,383,383
1971-01-01,73,73,73,73,73,73,73,73,73,73,73,73
1971-02-01,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
1971-03-01,53,53,53,53,53,53,53,53,53,53,53,53
1971-04-01,176,176,176,176,176,176,176,176,176,176,176,176
1971-05-01,211,211,211,211,211,211,211,211,211,211,211,211
1971-06-01,7,7,7,7,7,7,7,7,7,7,7,7
1971-07-01,61,61,61,61,61,61,61,61,61,61,61,61
1971-08-01,58,58,58,58,58,58,58,58,58,58,58,58
1971-09-01,241,241,241,241,241,241,241,241,241,241,241,241
1971-10-01,28,28,28,28,28,28,28,28,28,28,28,28
1971-11-01,205,205,205,205,205,205,205,205,205,205,205,205
1971-12-01,262,262,262,262,262,262,262,262,262,262,262,262
1972-01-01,332,332,332,332,332,332,332,332,332,332,332,332
1972-02-01,207,207,207,207,207,207,207,207,207,207,207,207
1972-03-01,296,296,296,296,296,296,296,296,296,296,296,296
1972-04-01,218,218,218,218,218,218,218,218,218,218,218,218
1972-05-01,307,307,307,307,307,307,307,307,307,307,307,307
1972-06-01,289,289,289,289,289,289,289,289,289,289,289,289
1972-07-01,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49
1972-08-01,432,432,432,432,432,432,432,432,432,432,432,432
1972-09-01,123,123,123,123,123,123,123,123,123,123,123,123
1972-10-01,410,410,410,410,410,410,410,410,410,410,410,410
1972-11-01,299,299,299,299,299,299,299,299,299,299,299,299
1972-12-01,295,295,295,295,295,295,295,295,295,295,295,295
1973-01-01,349,349,349,349,349,349,349,349,349,349,349,349
1973-02-01,397,397,397,397,397,397,397,397,397,397,397,397
1973-03-01,270,270,270,270,270,270,270,270,270,270,270,270
1973-04-01,171,171,171,171,171,171,171,171,171,171,171,171
1973-05-01,193,193,193,193,193,193,193,193,193,193,193,193
1973-06-01,239,239,239,239,239,239,239,239,239,239,239,239
1973-07-01,26,26,26,26,26,26,26,26,26,26,26,26
1973-08-01,255,255,255,255,255,255,255,255,255,255,255,255
1973-09-01,108,108,108,108,108,108,108,108,108,108,108,108
1973-10-01,331,331,331,331,331,331,331,331,331,331,331,331
1973-11-01,313,313,313,313,313,313,313,313,313,313,313,313
1973-12-01,111,111,111,111,111,111,111,111,111,111,111,111
1974-01-01,69,69,69,69,69,69,69,69,69,69,69,69
1974-02-01,154,154,154,154,154,154,154,154,154,154,154,154
1974-03-01,42,42,42,42,42,42,42,42,42,42,42,42
1974-04-01,86,86,86,86,86,86,86,86,86,86,86,86
1974-05-01,167,167,167,167,167,167,167,167,167,167,167,167
1974-06-01,55,55,55,55,55,55,55,55,55,55,55,55
1974-07-01,32,32,32,32,32,32,32,32,32,32,32,32
1974-08-01,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17
1974-09-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1974-10-01,20,20,20,20,20,20,20,20,20,20,20,20
1974-11-01,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365
1974-12-01,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613,-613
1975-01-01,-359,-359,-359,-359,-359,-359,-359,-359,-359,-359,-359,-359
1975-02-01,-375,-375,-375,-375,-375,-375,-375,-375,-375,-375,-375,-375
1975-03-01,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270
1975-04-01,-188,-188,-188,-188,-188,-188,-188,-188,-188,-188,-188,-188
1975-05-01,164,164,164,164,164,164,164,164,164,164,164,164
1975-06-01,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103,-103
1975-07-01,249,249,249,249,249,249,249,249,249,249,249,249
1975-08-01,383,383,383,383,383,383,383,383,383,383,383,383
1975-09-01,75,75,75,75,75,75,75,75,75,75,75,75
1975-10-01,312,312,312,312,312,312,312,312,312,312,312,312
1975-11-01,145,145,145,145,145,145,145,145,145,145,145,145
1975-12-01,332,332,332,332,332,332,332,332,332,332,332,332
1976-01-01,486,486,486,486,486,486,486,486,486,486,486,486
1976-02-01,313,313,313,313,313,313,313,313,313,313,313,313
1976-03-01,232,232,232,232,232,232,232,232,232,232,232,232
1976-04-01,244,244,244,244,244,244,244,244,244,244,244,244
1976-05-01,20,20,20,20,20,20,20,20,20,20,20,20
1976-06-01,64,64,64,64,64,64,64,64,64,64,64,64
1976-07-01,171,171,171,171,171,171,171,171,171,171,171,171
1976-08-01,157,157,157,157,157,157,157,157,157,157,157,157
1976-09-01,188,188,188,188,188,188,188,188,188,188,188,188
1976-10-01,19,19,19,19,19,19,19,19,19,19,19,19
1976-11-01,329,329,329,329,329,329,329,329,329,329,329,329
1976-12-01,208,208,208,208,208,208,208,208,208,208,208,208
1977-01-01,242,242,242,242,242,242,242,242,242,242,242,242
1977-02-01,298,298,298,298,298,298,298,298,298,298,298,298
1977-03-01,403,403,403,403,403,403,403,403,403,403,403,403
1977-04-01,337,337,337,337,337,337,337,337,337,337,337,337
1977-05-01,360,360,360,360,360,360,360,360,360,360,360,360
1977-06-01,400,400,400,400,400,400,400,400,400,400,400,400
1977-07-01,346,346,346,346,346,346,346,346,346,346,346,346
1977-08-01,241,241,241,241,241,241,241,241,241,241,241,241
1977-09-01,457,457,457,457,457,457,457,457,457,457,457,457
1977-10-01,268,268,268,268,268,268,268,268,268,268,268,268
1977-11-01,373,373,373,373,373,373,373,373,373,373,373,373
1977-12-01,237,237,237,237,237,237,237,237,237,237,237,237
1978-01-01,184,184,184,184,184,184,184,184,184,184,184,184
1978-02-01,354,354,354,354,354,354,354,354,354,354,354,354
1978-03-01,512,512,512,512,512,512,512,512,512,512,512,512
1978-04-01,702,702,702,702,702,702,702,702,702,702,702,702
1978-05-01,347,347,347,347,347,347,347,347,347,347,347,347
1978-06-01,441,441,441,441,441,441,441,441,441,441,441,441
1978-07-01,254,254,254,254,254,254,254,254,254,254,254,254
1978-08-01,279,279,279,279,279,279,279,279,279,279,279,279
1978-09-01,138,138,138,138,138,138,138,138,138,138,138,138
1978-10-01,335,335,335,335,335,335,335,335,335,335,335,335
1978-11-01,435,435,435,435,435,435,435,435,435,435,435,435
1978-12-01,280,280,280,280,280,280,280,280,280,280,280,280
1979-01-01,137,137,137,137,137,137,137,137,137,137,137,137
1979-02-01,247,247,247,247,247,247,247,247,247,247,247,247
1979-03-01,424,424,424,424,424,424,424,424,424,424,424,424
1979-04-01,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62
1979-05-01,372,372,372,372,372,372,372,372,372,372,372,372
1979-06-01,319,319,319,319,319,319,319,319,319,319,319,319
1979-07-01,109,109,109,109,109,109,109,109,109,109,109,109
1979-08-01,83,83,83,83,83,83,83,83,83,83,83,83
1979-09-01,27,27,27,27,27,27,27,27,27,27,27,27
1979-10-01,154,154,154,154,154,154,154,154,154,154,154,154
1979-11-01,92,92,92,92,92,92,92,92,92,92,92,92
1979-12-01,99,99,99,99,99,99,99,99,99,99,99,99
1980-01-01,128,128,128,128,128,128,128,128,128,128,128,128
1980-02-01,83,83,83,83,83,83,83,83,83,83,83,83
1980-03-01,111,111,111,111,111,111,111,111,111,111,111,111
1980-04-01,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145,-145
1980-05-01,-429,-429,-429,-429,-429,-429,-429,-429,-429,-429,-429,-429
1980-06-01,-319,-319,-319,-319,-319,-319,-319,-319,-319,-319,-319,-319
1980-07-01,-261,-261,-261,-261,-261,-261,-261,-261,-261,-261,-261,-261
1980-08-01,259,259,259,259,259,259,259,259,259,259,259,259
1980-09-01,114,114,114,114,114,114,114,114,114,114,114,114
1980-10-01,277,277,277,277,277,277,277,277,277,277,277,277
1980-11-01,257,257,257,257,257,257,257,257,257,257,257,257
1980-12-01,196,196,196,196,196,196,196,196,196,196,196,196
1981-01-01,90,90,90,90,90,90,90,90,90,90,90,90
1981-02-01,72,72,72,72,72,72,72,72,72,72,72,72
1981-03-01,105,105,105,105,105,105,105,105,105,105,105,105
1981-04-01,73,73,73,73,73,73,73,73,73,73,73,73
1981-05-01,13,13,13,13,13,13,13,13,13,13,13,13
1981-06-01,194,194,194,194,194,194,194,194,194,194,194,194
1981-07-01,111,111,111,111,111,111,111,111,111,111,111,111
1981-08-01,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36
1981-09-01,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1981-10-01,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97
1981-11-01,-209,-209,-209,-209,-209,-209,-209,-209,-209,-209,-209,-209
1981-12-01,-276,-276,-276,-276,-276,-276,-276,-276,-276,-276,-276,-276
1982-01-01,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330,-330
1982-02-01,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
1982-03-01,-129,-129,-129,-129,-129,-129,-129,-129,-129,-129,-129,-129
1982-04-01,-284,-284,-284,-284,-284,-284,-284,-284,-284,-284,-284,-284
1982-05-01,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43
1982-06-01,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242
1982-07-01,-344,-344,-344,-344,-344,-344,-344,-344,-344,-344,-344,-344
1982-08-01,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158
1982-09-01,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180
1982-10-01,-276,-276,-276,-276,-276,-276,-276,-276,-276,-276,-276,-276
1982-11-01,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121
1982-12-01,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
1983-01-01,219,219,219,219,219,219,219,219,219,219,219,219
1983-02-01,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73
1983-03-01,173,173,173,173,173,173,173,173,173,173,173,173
1983-04-01,274,274,274,274,274,274,274,274,274,274,274,274
1983-05-01,280,280,280,280,280,280,280,280,280,280,280,280
1983-06-01,377,377,377,377,377,377,377,377,377,377,377,377
1983-07-01,416,416,416,416,416,416,416,416,416,416,416,416
1983-08-01,-308,-308,-308,-308,-308,-308,-308,-308,-308,-308,-308,-308
1983-09-01,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
1983-10-01,273,273,273,273,273,273,273,273,273,273,273,273
1983-11-01,355,355,355,355,355,355,355,355,355,355,355,355
1983-12-01,355,355,355,355,355,355,355,355,355,355,355,355
1984-01-01,443,443,443,443,443,443,443,443,443,443,443,443
1984-02-01,484,484,484,484,484,484,484,484,484,484,484,484
1984-03-01,272,272,272,272,272,272,272,272,272,272,272,272
1984-04-01,363,363,363,363,363,363,363,363,363,363,363,363
1984-05-01,306,306,306,306,306,306,306,306,306,306,306,306
1984-06-01,381,381,381,381,381,381,381,381,381,381,381,381
1984-07-01,310,310,310,310,310,310,310,310,310,310,310,310
1984-08-01,243,243,243,243,243,243,243,243,243,243,243,243
1984-09-01,312,312,312,312,312,312,312,312,312,312,312,312
1984-10-01,285,285,285,285,285,285,285,285,285,285,285,285
1984-11-01,353,353,353,353,353,353,353,353,353,353,353,353
1984-12-01,125,125,125,125,125,125,125,125,125,125,125,125
1985-01-01,265,265,265,265,265,265,265,265,265,265,265,265
1985-02-01,131,131,131,131,131,131,131,131,131,131,131,131
1985-03-01,339,339,339,339,339,339,339,339,339,339,339,339
1985-04-01,196,196,196,196,196,196,196,196,196,196,196,196
1985-05-01,274,274,274,274,274,274,274,274,274,274,274,274
1985-06-01,147,147,147,147,147,147,147,147,147,147,147,147
1985-07-01,189,189,189,189,189,189,189,189,189,189,189,189
1985-08-01,192,192,192,192,192,192,192,192,192,192,192,192
1985-09-01,205,205,205,205,205,205,205,205,205,205,205,205
1985-10-01,188,188,188,188,188,188,188,188,188,188,188,188
1985-11-01,210,210,210,210,210,210,210,210,210,210,210,210
1985-12-01,166,166,166,166,166,166,166,166,166,166,166,166
1986-01-01,123,123,123,123,123,123,123,123,123,123,123,123
1986-02-01,115,115,115,115,115,115,115,115,115,115,115,115
1986-03-01,87,87,87,87,87,87,87,87,87,87,87,87
1986-04-01,187,187,187,187,187,187,187,187,187,187,187,187
1986-05-01,127,127,127,127,127,127,127,127,127,127,127,127
1986-06-01,-93,-93,-93,-93,-93,-93,-93,-93,-93,-93,-93,-93
1986-07-01,318,318,318,318,318,318,318,318,318,318,318,318
1986-08-01,115,115,115,115,115,115,115,115,115,115,115,115
1986-09-01,346,346,346,346,346,346,346,346,346,346,346,346
1986-10-01,187,187,187,187,187,187,187,187,187,187,187,187
1986-11-01,187,187,187,187,187,187,187,187,187,187,187,187
1986-12-01,201,201,201,201,201,201,201,201,201,201,201,201
1987-01-01,169,169,169,169,169,169,169,169,169,169,169,169
1987-02-01,241,241,241,241,241,241,241,241,241,241,241,241
1987-03-01,245,245,245,245,245,245,245,245,245,245,245,245
1987-04-01,335,335,335,335,335,335,335,335,335,335,335,335
1987-05-01,229,229,229,229,229,229,229,229,229,229,229,229
1987-06-01,172,172,172,172,172,172,172,172,172,172,172,172
1987-07-01,347,347,347,347,347,347,347,347,347,347,347,347
1987-08-01,173,173,173,173,173,173,173,173,173,173,173,173
1987-09-01,227,227,227,227,227,227,227,227,227,227,227,227
1987-10-01,491,491,491,491,491,491,491,491,491,491,491,491
1987-11-01,234,234,234,234,234,234,234,234,234,234,234,234
1987-12-01,289,289,289,289,289,289,289,289,289,289,289,289
1988-01-01,92,92,92,92,92,92,92,92,92,92,92,92
1988-02-01,461,461,461,461,461,461,461,461,461,461,461,461
1988-03-01,275,275,275,275,275,275,275,275,275,275,275,275
1988-04-01,243,243,243,243,243,243,243,243,243,243,243,243
1988-05-01,230,230,230,230,230,230,230,230,230,230,230,230
1988-06-01,364,364,364,364,364,364,364,364,364,364,364,364
1988-07-01,224,224,224,224,224,224,224,224,224,224,224,224
1988-08-01,124,124,124,124,124,124,124,124,124,124,124,124
1988-09-01,339,339,339,339,339,339,339,339,339,339,339,339
1988-10-01,263,263,263,263,263,263,263,263,263,263,263,263
1988-11-01,341,341,341,341,341,341,341,341,341,341,341,341
1988-12-01,281,281,281,281,281,281,281,281,281,281,281,281
1989-01-01,263,263,263,263,263,263,263,263,263,263,263,263
1989-02-01,266,266,266,266,266,266,266,266,266,266,266,266
1989-03-01,194,194,194,194,194,194,194,194,194,194,194,194
1989-04-01,170,170,170,170,170,170,170,170,170,170,170,170
1989-05-01,122,122,122,122,122,122,122,122,122,122,122,122
1989-06-01,114,114,114,114,114,114,114,114,114,114,114,114
1989-07-01,42,42,42,42,42,42,42,42,42,42,42,42
1989-08-01,51,51,51,51,51,51,51,51,51,51,51,51
1989-09-01,249,249,249,249,249,249,249,249,249,249,249,249
1989-10-01,107,107,107,107,107,107,107,107,107,107,107,107
1989-11-01,276,276,276,276,276,276,276,276,276,276,276,276
1989-12-01,84,84,84,84,84,84,84,84,84,84,84,84
1990-01-01,363,363,363,363,363,363,363,363,363,363,363,363
1990-02-01,236,236,236,236,236,236,236,236,236,236,236,236
1990-03-01,209,209,209,209,209,209,209,209,209,209,209,209
1990-04-01,42,42,42,42,42,42,42,42,42,42,42,42
1990-05-01,153,153,153,153,153,153,153,153,153,153,153,153
1990-06-01,17,17,17,17,17,17,17,17,17,17,17,17
1990-07-01,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32
1990-08-01,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208
1990-09-01,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
1990-10-01,-151,-151,-151,-151,-151,-151,-151,-151,-151,-151,-151,-151
1990-11-01,-153,-153,-153,-153,-153,-153,-153,-153,-153,-153,-153,-153
1990-12-01,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48
1991-01-01,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111
1991-02-01,-321,-321,-321,-321,-321,-321,-321,-321,-321,-321,-321,-321
1991-03-01,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160
1991-04-01,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210
1991-05-01,-115,-115,-115,-115,-115,-115,-115,-115,-115,-115,-115,-115
1991-06-01,85,85,85,85,85,85,85,85,85,85,85,85
1991-07-01,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42
1991-08-01,18,18,18,18,18,18,18,18,18,18,18,18
1991-09-01,26,26,26,26,26,26,26,26,26,26,26,26
1991-10-01,21,21,21,21,21,21,21,21,21,21,21,21
1991-11-01,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61
1991-12-01,32,32,32,32,32,32,32,32,32,32,32,32
1992-01-01,41,41,41,41,41,41,41,41,41,41,41,41
1992-02-01,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
1992-03-01,54,54,54,54,54,54,54,54,54,54,54,54
1992-04-01,154,154,154,154,154,154,154,154,154,154,154,154
1992-05-01,130,130,130,130,130,130,130,130,130,130,130,130
1992-06-01,66,66,66,66,66,66,66,66,66,66,66,66
1992-07-01,78,78,78,78,78,78,78,78,78,78,78,78
1992-08-01,132,132,132,132,132,132,132,132,132,132,132,132
1992-09-01,34,34,34,34,34,34,34,34,34,34,34,34
1992-10-01,180,180,180,180,180,180,180,180,180,180,180,180
1992-11-01,133,133,133,133,133,133,133,133,133,133,133,133
1992-12-01,223,223,223,223,223,223,223,223,223,223,223,223
1993-01-01,299,299,299,299,299,299,299,299,299,299,299,299
1993-02-01,250,250,250,250,250,250,250,250,250,250,250,250
1993-03-01,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50
1993-04-01,302,302,302,302,302,302,302,302,302,302,302,302
1993-05-01,272,272,272,272,272,272,272,272,272,272,272,272
1993-06-01,181,181,181,181,181,181,181,181,181,181,181,181
1993-07-01,306,306,306,306,306,306,306,306,306,306,306,306
1993-08-01,151,151,151,151,151,151,151,151,151,151,151,151
1993-09-01,242,242,242,242,242,242,242,242,242,242,242,242
1993-10-01,285,285,285,285,285,285,285,285,285,285,285,285
1993-11-01,251,251,251,251,251,251,251,251,251,251,251,251
1993-12-01,330,330,330,330,330,330,330,330,330,330,330,330
1994-01-01,281,281,281,281,281,281,281,281,281,281,281,281
1994-02-01,186,186,186,186,186,186,186,186,186,186,186,186
